
Image Name                     PID Session Name        Session#    Mem Usage
Code.exe                      8836 Console                    3    347,832 K
Code.exe                     25708 Console                    3     97,452 K
Code.exe                      4016 Console                    3     73,196 K
wsl.exe                      24548 Console                    3      9,596 K
conhost.exe                  29000 Console                    3      6,180 K
wsl.exe                       2436 Console                    3      9,916 K
wslhost.exe                  20244 Console                    3      7,864 K
conhost.exe                  21948 Console                    3      7,660 K
Code.exe                      2844 Console                    3     82,596 K
Code.exe                      5172 Console                    3     68,672 K
SearchHost.exe               17404 Console                    3    304,964 K
svchost.exe                  14120 Console                    3     17,980 K
SystemSettings.exe           11148 Console                    3      2,428 K
ApplicationFrameHost.exe     24468 Console                    3     26,564 K
UserOOBEBroker.exe           27740 Console                    3      8,132 K
svchost.exe                  19900 Console                    3     12,396 K
SystemSettingsBroker.exe     20236 Console                    3     26,076 K
svchost.exe                   6084 Console                    3      8,520 K
chrome.exe                    9160 Console                    3    269,688 K
chrome.exe                   24704 Console                    3      8,212 K
chrome.exe                    4056 Console                    3    148,648 K
chrome.exe                    7892 Console                    3     49,616 K
chrome.exe                   28832 Console                    3     19,712 K
chrome.exe                   27684 Console                    3    138,960 K
chrome.exe                   12472 Console                    3     36,156 K
chrome.exe                   13756 Console                    3     64,860 K
chrome.exe                   25556 Console                    3    132,276 K
chrome.exe                   28060 Console                    3     65,564 K
LockApp.exe                   7800 Console                    3     45,440 K
RuntimeBroker.exe            14080 Console                    3     30,568 K
msrdc.exe                    22108 Console                    3     29,068 K
unsecapp.exe                 28068 Console                    3      8,680 K
wsl.exe                       6248 Console                    3      9,588 K
conhost.exe                  27200 Console                    3      6,120 K
wsl.exe                      21840 Console                    3      9,024 K
wslhost.exe                  15348 Console                    3      7,856 K
conhost.exe                   7692 Console                    3      7,644 K
wsl.exe                      28292 Console                    3      9,588 K
conhost.exe                  24112 Console                    3      6,156 K
wsl.exe                      10900 Console                    3      9,020 K
wslhost.exe                  15580 Console                    3      7,856 K
conhost.exe                  17316 Console                    3      7,652 K
chrome.exe                    2812 Console                    3    103,960 K
chrome.exe                   13380 Console                    3    143,452 K
chrome.exe                   27436 Console                    3    123,108 K
chrome.exe                   20300 Console                    3    139,916 K
chrome.exe                   16048 Console                    3     41,400 K
chrome.exe                    7808 Console                    3     47,536 K
chrome.exe                   27696 Console                    3     90,456 K
chrome.exe                    5504 Console                    3    103,236 K
chrome.exe                   18216 Console                    3    103,976 K
chrome.exe                   23072 Console                    3     49,312 K
chrome.exe                    5020 Console                    3     80,160 K
chrome.exe                    3576 Console                    3    113,376 K
chrome.exe                    7052 Console                    3    120,152 K
